89633311	1.1502	0.0142	-2.2748
89633312	1.1447	0.0519	-2.1800
89633313	1.1815	-0.0299	-1.7785
89633314	1.2609	0.1669	-1.7423
89633315	1.1740	-0.1601	-1.8545
89633316	1.0205	-0.3772	-2.1851
89633317	0.9910	-0.3157	-2.2132
89633318	1.0086	-0.2804	-2.2018
89633319	1.0271	0.0315	-2.1077
89633320	0.9511	0.1896	-2.1831
89633321	0.7746	-0.1339	-2.3402
89633322	0.6986	-0.0386	-2.4251
89633323	0.6431	-0.1540	-2.8094
89633324	0.6057	0.2517	-2.9197
89633325	0.5124	-0.3519	-3.5854
89633326	0.4469	-0.6601	-3.7269
89633327	0.6382	-0.4889	-3.3094
89633328	0.4369	-1.3605	-3.9479
89633329	0.3461	-1.8645	-4.5071
89633330	0.4012	-1.1795	-3.5652
89633331	0.4690	-1.3745	-3.3502
89633332	0.6232	-0.8361	-3.8276
89633333	0.8830	-0.2720	-3.4584
89633334	0.8349	0.2468	-3.1159
89633335	0.8080	0.3206	-3.2965
89633336	1.0786	0.8383	-2.3261
89633337	1.3011	1.2321	-2.1445
89633338	1.1341	0.6594	-1.5743
89633339	1.2992	0.4011	-1.4685
89633340	1.0779	0.2110	-2.0914
89633341	1.3815	0.8356	-1.4174
89633342	1.2787	0.1897	-2.0311
89633343	0.9794	-0.5536	-2.5903
89633344	0.9871	-0.4152	-2.3287
89633345	0.9050	-0.5121	-2.6096
89633346	0.9378	-0.4499	-2.5063
89633347	1.0371	-0.0402	-2.1458
89633348	1.1730	0.2542	-1.9909
89633349	0.7356	-0.3718	-2.8094
89633350	0.9339	-0.6842	-2.8370
89633351	0.9024	-0.5537	-2.8662
89633352	0.8908	-1.0361	-3.4732
89633353	0.8944	-0.6411	-3.2822
89633354	1.0618	-0.4735	-3.9985
89633355	1.3555	-0.1009	-3.6004
89633356	1.3134	-0.2156	-3.4035
89633357	1.4673	-0.0088	-3.1121
89633358	1.3324	-0.1038	-3.2359
89633359	1.4884	0.0562	-2.9245
89633360	1.6351	0.4125	-3.2034
89633361	1.3457	0.2741	-3.7302
89633362	1.5045	0.0883	-4.2837
89633363	1.4876	0.3348	-4.0608
89633364	1.1627	0.3627	-4.1665
89633365	1.0707	0.0581	-4.3762
89633366	0.8581	-0.0492	-4.7565
89633367	0.6530	-0.6422	-5.4957
89633368	0.6423	-0.9918	-5.4298
89633369	0.7039	-0.7803	-5.3929
89633370	0.8175	-0.4787	-4.7623
89633371	0.9053	-0.7411	-5.0439
89633372	0.7783	-0.9839	-4.4590
89633373	1.0808	-0.6209	-4.0573
89633374	1.1931	-0.1741	-3.5698
89633375	1.4513	0.2081	-3.0354
89633376	1.3578	0.5058	-2.5587
89633377	1.5950	0.4610	-2.8840
89633378	1.6981	0.7023	-2.5411
89633379	1.6204	0.6319	-2.9546
89633380	1.3276	0.1782	-3.0519
89633381	1.1742	-0.0089	-3.1867
89633382	1.1277	0.0372	-3.4171
89633383	1.3192	0.3787	-3.0374
89633384	1.3228	0.1620	-2.7099
89633385	0.9572	0.0839	-2.5073
89633386	1.0476	-0.0233	-2.4643
89633387	0.7947	-0.5223	-2.9706
89633388	0.8003	-0.5491	-3.3587
89633389	0.5410	-1.1163	-3.8468
89633390	0.4078	-1.0180	-3.8179
89633391	0.6376	-0.6952	-3.5686
89633392	0.7265	-0.6233	-3.9898
89633393	0.7699	-0.6643	-4.0368
89633394	0.6902	-0.8647	-4.1241
