89633311	1.1694	0.7146	-1.0312
89633312	0.9876	0.4706	-1.0241
89633313	1.1192	0.3996	-0.9586
89633314	1.2760	0.2516	-1.2405
89633315	1.2079	0.3500	-1.0713
89633316	1.3255	0.6046	-0.8289
89633317	1.1031	0.3996	-0.7847
89633318	1.1601	0.3218	-0.7495
89633319	1.2885	1.1403	0.2871
89633320	0.9767	1.1771	-0.5259
89633321	1.1489	1.4229	-0.2128
89633322	0.9034	1.1950	-0.8802
89633323	0.7852	1.1493	-0.7870
89633324	0.6526	1.5388	-0.3487
89633325	0.7965	1.3217	-0.8466
89633326	0.7551	0.5140	-1.3635
89633327	1.0507	1.0740	-0.5202
89633328	0.8395	-0.0902	-1.4295
89633329	1.0806	-0.1085	-1.5850
89633330	1.0302	-0.0491	-1.1100
89633331	1.3132	0.3523	-0.8053
89633332	1.0082	0.2962	-0.6843
89633333	1.0536	0.7972	-0.2884
89633334	0.6041	0.7657	-0.4971
89633335	0.6052	1.1347	-0.4859
89633336	0.6054	1.1467	0.0094
89633337	0.4694	1.0780	-0.6440
89633338	0.6237	0.7375	-0.5975
89633339	0.8399	0.8112	-0.5924
89633340	0.6154	0.3955	-1.3283
89633341	0.7524	1.0133	-1.3008
89633342	0.9099	0.4144	-1.1189
89633343	0.8900	0.3986	-0.8140
89633344	0.8994	0.4281	-0.9280
89633345	1.0393	0.9227	-0.8002
89633346	0.7568	0.5173	-0.8437
89633347	0.7557	0.8220	-0.6512
89633348	0.8823	1.2209	-0.5220
89633349	0.7558	1.2449	-0.5409
89633350	0.9702	0.8235	-0.8150
89633351	1.1472	0.8890	-0.9011
89633352	1.1569	0.5690	-0.8178
89633353	1.2722	1.1353	0.1501
89633354	0.9847	0.6174	-0.6264
89633355	1.1245	0.7290	-0.7109
89633356	1.1578	0.5564	-0.0846
89633357	1.2570	0.5932	-0.1674
89633358	1.0416	0.5170	-0.4992
89633359	1.0113	0.3728	-0.0389
89633360	1.0396	0.5179	0.0872
89633361	0.6965	0.4371	-0.8468
89633362	0.7891	0.3606	-0.5385
89633363	0.7006	0.2373	-1.2046
89633364	0.7490	1.1073	0.1151
89633365	0.5761	0.6299	-0.8873
89633366	0.3778	0.6457	-1.3288
89633367	0.6420	0.6604	-0.5850
89633368	0.7038	0.2833	-0.7806
89633369	0.7122	0.4798	-0.7067
89633370	0.6625	0.3037	-0.9127
89633371	0.7852	0.1294	-1.3426
89633372	0.7329	-0.3403	-1.3018
89633373	0.9315	0.1397	-1.1456
89633374	0.7699	0.5839	-1.0180
89633375	0.8337	0.4262	-0.9777
89633376	0.6346	0.5253	-1.0989
89633377	0.7806	0.7282	-1.9954
89633378	0.7725	0.7739	-1.1536
89633379	0.8424	0.9769	-1.3447
89633380	1.0239	0.8303	-0.9466
89633381	0.8513	0.7017	-1.0879
89633382	0.9887	0.8669	-0.8316
89633383	1.0760	1.0450	-1.0211
89633384	1.2558	0.7024	-1.0160
89633385	0.9539	0.9814	-0.9281
89633386	1.3281	0.9971	-0.1756
89633387	1.0816	0.3662	-1.2026
89633388	1.1293	0.6211	-0.8391
89633389	0.9219	0.2686	-1.0736
89633390	0.7307	0.2998	-1.6099
89633391	1.0368	0.8227	-1.2688
89633392	0.9052	0.8765	-1.6501
89633393	0.7455	0.5008	-1.8588
89633394	0.7754	0.6962	-1.7742
89633395	1.1516	1.0718	-1.4480
89633396	1.0623	0.8696	-1.1787
89633397	1.0262	0.7636	-1.0787
89633398	1.1160	0.8947	-0.4636
89633399	1.1075	0.9937	-0.3233
89633400	1.2371	0.9748	-0.4369
89633401	1.2521	0.6256	-0.4320
89633402	1.0511	0.5857	-0.3994
89633403	1.0954	0.4565	-0.2201
89633404	0.8022	0.0826	-1.3505
89633405	0.8469	0.0383	-1.4537
89633406	0.6180	0.4147	-2.0794
89633407	0.6612	0.1730	-1.3133
89633408	0.7086	0.4067	-1.2320
89633409	0.7167	-0.4398	-1.6655
89633410	0.7953	0.2604	-0.8473
89633411	0.7990	0.4821	-1.1432
89633412	0.9932	0.6114	0.1929
89633413	0.8329	0.1770	-0.2348
89633414	0.7773	0.2725	0.2548
89633415	0.5768	0.0586	-0.5321
89633416	0.8104	-0.0279	-0.2739
89633417	0.6760	0.1859	-0.6065
89633418	0.6144	0.0752	-1.3967
89633419	0.4912	0.2792	-0.6172
89633420	0.3763	0.2115	-1.5741
89633421	0.5882	0.4012	-1.3347
89633422	0.4016	0.5078	-1.7224
89633423	0.4145	1.4039	-1.4319
89633424	0.4825	0.9486	-1.3986
89633425	0.5810	0.3612	-1.3703
89633426	0.4672	0.3177	-1.4427
89633427	0.7456	0.6392	-0.8714
89633428	0.6204	0.2093	-1.0040
89633429	0.7881	-0.2755	-0.7953
89633430	0.9158	0.0265	-0.9729
89633431	0.8203	-0.1758	-1.2087
89633432	0.7078	0.3810	-1.6320
89633433	0.4416	0.0416	-2.0434
89633434	0.4932	0.1282	-1.7032
89633435	0.5044	0.7652	-0.9462
89633436	0.6619	0.9544	-0.9155
89633437	0.5615	1.3128	-0.6288
89633438	0.3460	1.1092	-1.2026
89633439	0.5287	1.0576	-0.9587
89633440	0.5823	1.1033	-1.4843
89633441	0.5102	0.9396	-0.6334
89633442	0.4802	0.5897	-1.2856
89633443	0.4612	0.0573	-1.3845
89633444	0.6057	0.2153	-1.2557
89633445	0.6177	0.0541	-1.3268
89633446	0.5931	-0.2569	-1.1262
89633447	0.4532	0.2516	-1.0323
89633448	0.4600	0.1191	-1.3408
89633449	0.2648	0.4242	-1.3072
